Product,Sales,Region,Tax_rate
Phone,672,South,0.15
Monitor,1196,West,0.15
Laptop,804,North,0.15
Laptop,937,North,0.15
Laptop,218,South,0.15
Monitor,1068,South,0.15
Phone,1260,North,0.15
Phone,195,South,0.15
Monitor,286,South,0.15
Tablet,103,East,0.15
Phone,1374,West,0.15
Tablet,615,North,0.15
Phone,529,East,0.15
Tablet,1244,South,0.15
Laptop,668,South,0.15
Laptop,829,South,0.15
Tablet,1254,East,0.15
Tablet,1158,South,0.15
Phone,921,South,0.15
Monitor,843,North,0.15
Laptop,412,West,0.15
Tablet,563,South,0.15
Monitor,364,South,0.15
Laptop,216,North,0.15
Tablet,1045,West,0.15
Laptop,568,West,0.15
Monitor,364,North,0.15
Monitor,353,West,0.15
Laptop,636,East,0.15
Phone,262,South,0.15
Laptop,671,South,0.15
Monitor,1358,West,0.15
Phone,1025,West,0.15
Monitor,321,South,0.15
Phone,675,East,0.15
Tablet,1170,North,0.15
Phone,568,South,0.15
Tablet,1132,East,0.15
Laptop,569,East,0.15
Tablet,1471,South,0.15
Phone,507,East,0.15
Phone,897,East,0.15
Phone,287,East,0.15
Laptop,816,East,0.15
Laptop,1201,West,0.15
Monitor,1322,West,0.15
Laptop,549,South,0.15
Tablet,189,East,0.15
Phone,159,West,0.15
Monitor,236,East,0.15
Laptop,410,North,0.15
Laptop,1075,East,0.15
Monitor,685,North,0.15
Phone,495,South,0.15
Tablet,731,West,0.15
Monitor,1112,South,0.15
Tablet,516,West,0.15
Laptop,1329,West,0.15
Tablet,521,West,0.15
Monitor,121,West,0.15
Tablet,1259,West,0.15
Tablet,977,North,0.15
Phone,133,West,0.15
Monitor,1455,North,0.15
Phone,902,West,0.15
Tablet,1499,East,0.15
Laptop,1386,East,0.15
Tablet,1408,North,0.15
Tablet,972,South,0.15
Tablet,1188,East,0.15
Phone,288,South,0.15
Phone,856,North,0.15
Phone,1068,West,0.15
Monitor,233,East,0.15
Laptop,1390,West,0.15
Phone,372,North,0.15
Tablet,949,North,0.15
Monitor,761,North,0.15
Phone,418,South,0.15
Phone,1447,East,0.15
Tablet,163,East,0.15
Phone,507,North,0.15
Tablet,1368,North,0.15
Laptop,523,West,0.15
Tablet,1466,West,0.15
Tablet,1089,North,0.15
Laptop,1481,South,0.15
Laptop,1061,North,0.15
Tablet,106,East,0.15
Tablet,1451,East,0.15
Monitor,588,North,0.15
Tablet,448,East,0.15
Laptop,1041,West,0.15
Monitor,1195,East,0.15
Phone,637,East,0.15
Laptop,1073,West,0.15
Tablet,1074,West,0.15
Laptop,208,West,0.15
Tablet,1446,West,0.15
Tablet,411,South,0.15
Monitor,737,East,0.15
Laptop,958,South,0.15
Laptop,112,West,0.15
Laptop,1300,West,0.15
Laptop,1099,West,0.15
Tablet,438,South,0.15
Laptop,1145,East,0.15
Tablet,405,North,0.15
Laptop,1087,South,0.15
Laptop,901,West,0.15
Tablet,490,South,0.15
Phone,1048,West,0.15
Laptop,368,North,0.15
Laptop,853,East,0.15
Tablet,1416,East,0.15
Laptop,169,North,0.15
Phone,1179,North,0.15
Laptop,1079,East,0.15
Monitor,109,North,0.15
Phone,1373,South,0.15
Monitor,482,West,0.15
Phone,360,West,0.15
Phone,1312,West,0.15
Tablet,355,North,0.15
Phone,1150,South,0.15
Laptop,1058,West,0.15
Laptop,1079,North,0.15
Tablet,252,East,0.15
Laptop,1178,East,0.15
Laptop,1245,West,0.15
Laptop,1366,South,0.15
Monitor,717,West,0.15
Phone,306,South,0.15
Tablet,403,West,0.15
Monitor,572,East,0.15
Monitor,924,West,0.15
Laptop,1034,East,0.15
Laptop,969,South,0.15
Laptop,583,East,0.15
Phone,181,South,0.15
Monitor,1357,West,0.15
Laptop,179,East,0.15
Phone,1114,East,0.15
Phone,917,North,0.15
Tablet,851,East,0.15
Laptop,496,North,0.15
Phone,840,North,0.15
Monitor,1070,North,0.15
Monitor,239,North,0.15
Tablet,208,East,0.15
Phone,576,South,0.15
Laptop,714,West,0.15
Laptop,1410,East,0.15
Phone,1050,North,0.15
Laptop,746,South,0.15
Monitor,730,East,0.15
Monitor,1053,West,0.15
Monitor,1179,East,0.15
Phone,768,West,0.15
Phone,784,East,0.15
Laptop,1262,North,0.15
Laptop,1143,East,0.15
Tablet,927,East,0.15
Phone,791,South,0.15
Phone,501,East,0.15
Monitor,1020,South,0.15
Tablet,1170,West,0.15
Tablet,485,North,0.15
Tablet,870,North,0.15
Monitor,327,North,0.15
Phone,1062,East,0.15
Phone,139,West,0.15
Laptop,909,East,0.15
Tablet,1097,West,0.15
Tablet,1323,North,0.15
Tablet,366,West,0.15
Monitor,1357,West,0.15
Laptop,241,South,0.15
Laptop,1405,East,0.15
Laptop,1338,South,0.15
Laptop,1140,West,0.15
Tablet,1454,South,0.15
Monitor,1231,North,0.15
Laptop,175,West,0.15
Tablet,289,West,0.15
Tablet,388,East,0.15
Tablet,1003,North,0.15
Monitor,971,East,0.15
Monitor,1147,North,0.15
Phone,976,West,0.15
Monitor,842,North,0.15
Monitor,348,North,0.15
Monitor,1257,South,0.15
Phone,698,East,0.15
Phone,1239,West,0.15
Monitor,1107,East,0.15
Tablet,1105,North,0.15
Phone,1391,West,0.15
Laptop,1235,South,0.15
Laptop,1053,South,0.15
Laptop,647,North,0.15
Monitor,387,East,0.15
Laptop,534,North,0.15
Monitor,1089,North,0.15
Laptop,1170,South,0.15
Phone,1373,North,0.15
Monitor,296,West,0.15
Laptop,127,West,0.15
Monitor,1182,South,0.15
Monitor,1060,West,0.15
Laptop,812,North,0.15
Monitor,286,South,0.15
Monitor,1281,West,0.15
Phone,486,North,0.15
Phone,357,North,0.15
Monitor,157,East,0.15
Monitor,1396,East,0.15
Laptop,641,South,0.15
Tablet,945,South,0.15
Laptop,285,South,0.15
Laptop,1087,South,0.15
Tablet,462,West,0.15
Laptop,127,West,0.15
Laptop,230,East,0.15
Tablet,582,South,0.15
Phone,316,North,0.15
Monitor,1127,South,0.15
Laptop,1119,West,0.15
Tablet,1162,East,0.15
Phone,179,South,0.15
Laptop,1218,West,0.15
Laptop,1216,West,0.15
Monitor,1329,South,0.15
Monitor,426,East,0.15
Laptop,1113,South,0.15
Laptop,1040,South,0.15
Monitor,1015,East,0.15
Laptop,544,North,0.15
Monitor,378,East,0.15
Phone,916,North,0.15
Monitor,1015,South,0.15
Phone,1479,North,0.15
Tablet,241,West,0.15
Laptop,500,North,0.15
Laptop,1125,East,0.15
Phone,1097,West,0.15
Monitor,534,West,0.15
Tablet,284,West,0.15
Tablet,1396,West,0.15
Tablet,605,South,0.15
Laptop,391,South,0.15
Laptop,183,North,0.15
Laptop,854,East,0.15
Tablet,843,South,0.15
Monitor,759,West,0.15
Monitor,275,North,0.15
Laptop,381,South,0.15
Monitor,1457,North,0.15
Laptop,1115,North,0.15
Monitor,1092,North,0.15
Laptop,455,West,0.15
Monitor,769,East,0.15
Laptop,462,East,0.15
Phone,1321,South,0.15
Tablet,771,North,0.15
Phone,528,North,0.15
Phone,1210,North,0.15
Laptop,889,North,0.15
Tablet,593,West,0.15
Monitor,1092,West,0.15
Tablet,1286,North,0.15
Tablet,626,West,0.15
Monitor,1141,North,0.15
Tablet,272,South,0.15
Tablet,246,North,0.15
Phone,902,East,0.15
Phone,711,South,0.15
Tablet,384,West,0.15
Tablet,221,West,0.15
